episode,step,avg_reward,loss,epsilon,L_spawn
700,2560,18.04300004005432,0.0,1.0,0.2
1220,6656,18.703999948501586,70.77059936523438,0.9999953948404178,0.2
1380,8192,17.621999921798707,70.77059936523438,0.9999953948404178,0.2
1760,13312,16.63599998474121,52.682594299316406,0.9999815794889156,0.2
2160,19968,15.893999834060669,40.354515075683594,0.9999677643282784,0.2
2720,30720,16.047000608444215,35.30796813964844,0.9999447394846864,0.2
3000,35840,18.173000202178955,33.8214111328125,0.9999309248330092,0.2
3120,37888,17.088000707626342,31.44200897216797,0.9999263199915291,0.2
3500,46080,17.793000240325927,20.64012908935547,0.9999079008376683,0.2
3620,49152,15.767000226974487,18.41754722595215,0.9999032961022174,0.2
4420,58368,15.619999856948853,23.617244720458984,0.999880272743044,0.2
6120,83456,11.595999221801758,23.578250885009766,0.9998250188439205,0.2
6320,86016,12.889999170303344,26.256061553955078,0.9998204144901545,0.2
7200,100352,13.232999868392945,22.113758087158203,0.9997881846074923,0.2
8720,121856,14.744000768661499,26.294639587402344,0.9997375397481173,0.2
8820,123392,12.505000410079957,24.116426467895508,0.9997329357972065,0.2
9320,130560,9.348995895385743,25.09558868408203,0.9997191240716851,0.2
9380,131584,12.216998252868652,23.230560302734375,0.9997145202055813,0.2
9600,135168,11.96300142288208,25.716278076171875,0.9997099163606791,0.2
10320,145408,13.96399998664856,22.776653289794922,0.9996868974541876,0.2
10680,151040,13.750999422073365,23.813419342041016,0.999673086364705,0.2
11180,158208,14.178000411987306,21.593170166015625,0.9996546718755369,0.2
11580,164352,12.021000194549561,28.108917236328125,0.9996408612312639,0.2
11960,169472,13.179000644683837,24.95170021057129,0.999631654241082,0.2
12200,173056,9.242999448776246,21.758174896240234,0.9996224473356993,0.2
12720,181248,14.924999856948853,21.61448097229004,0.999604033779328,0.2
13300,190464,13.419999647140504,25.76618194580078,0.9995856205621438,0.2
15240,221184,12.654001684188843,19.988780975341797,0.9995165740184817,0.2
15480,224768,11.256000413894654,22.277978897094727,0.999507368173022,0.2
17160,251392,15.534999647140502,18.928543090820312,0.9994475322442211,0.2
18040,263168,13.523000860214234,19.15497589111328,0.9994199168698755,0.2
18240,266240,12.262000341415405,20.380189895629883,0.9994153143816686,0.2
18420,268800,13.52199963569641,21.235504150390625,0.9994061094688405,0.2
18780,273920,12.190000534057617,19.11463165283203,0.9993969046407922,0.2
20420,296448,14.494000902175904,21.47403335571289,0.9993462796019345,0.2
20860,303104,13.919000492095947,23.625717163085938,0.9993324732182288,0.2
22260,325120,12.66199963569641,16.855144500732422,0.9992818514431828,0.2
22800,332800,13.580000867843628,18.808345794677734,0.9992634441607621,0.2
22860,333824,13.180001764297485,18.808345794677734,0.9992634441607621,0.2
23200,338944,8.915998563766479,16.226425170898438,0.9992496389214625,0.2
23260,339968,12.807999925613403,16.226425170898438,0.9992496389214625,0.2
24120,353280,13.572999897003173,16.982532501220703,0.9992174274381344,0.2
24160,353792,13.71300079345703,16.982532501220703,0.9992174274381344,0.2
24260,355328,13.511000299453736,16.304893493652344,0.9992128258824237,0.2
27460,403456,13.106998720169067,13.57647705078125,0.9991069959495681,0.2
29340,434688,8.952999458312988,14.580876350402832,0.9990333817376432,0.2
29400,435712,12.166000537872314,14.580876350402832,0.9990333817376432,0.2
30080,446976,12.437001810073852,11.338701248168945,0.999005777806541,0.2
30220,449024,12.863001127243042,11.013040542602539,0.9990011772255106,0.2
30360,451072,14.114000539779664,12.587081909179688,0.9989965766656667,0.2
31020,460288,10.78799903869629,13.291698455810547,0.9989781746381529,0.2
31680,469504,14.45699902534485,11.86263656616211,0.9989551725804433,0.2
32280,477696,14.1889990234375,12.970529556274414,0.998936771315614,0.2
32320,478208,15.814999961853028,12.970529556274414,0.998936771315614,0.2
32560,482304,14.63100061416626,10.233134269714355,0.99892757081031,0.2
33440,496640,14.834001054763794,11.704423904418945,0.9988953697090638,0.2
33780,501760,15.01099838256836,11.527241706848145,0.998886169585081,0.2
34040,505856,11.931001062393188,10.869292259216309,0.998876969545834,0.2
36200,536576,11.135002202987671,10.786816596984863,0.9988079719523593,0.2
36340,538624,13.07100203514099,11.053823471069336,0.9988033722822565,0.2
36820,545792,12.304000911712647,12.143107414245605,0.9987849738136663,0.2
37440,554496,12.242997703552247,9.965645790100098,0.9987665756839852,0.2
39180,578560,12.336000394821166,9.538052558898926,0.998711383328335,0.2
39840,588288,11.367000522613525,9.740435600280762,0.9986883874136515,0.2
